Ano,Código Órgão Superior,Nome Órgão Superior,Código Função,Nome Função,Código Subfunção,Nome Subfunção,Valor Empenhado (R$),Valor Liquidado (R$),Valor Pago (R$)
2020,53000,Ministério da Integração e do Desenvolvime,18,Gestão ambiental,544,Recursos hídricos,596126407.73,514434311.37,464882259.19
2020,30000,Ministério da Justiça e Segurança Pública,09,Previdência social,272,Previdência do regime estatutário,27883294.770000003,328973330.66,447453716.34
2020,25000,Ministério da Fazenda,20,Agricultura,605,Abastecimento,258448299.73,440166772.94,440166772.94
2020,33000,Ministério da Previdência Social,09,Previdência social,122,Administração geral,145645890.26999998,362261674.8,419137357.2
2020,56000,Ministério das Cidades,17,Saneamento,512,Saneamento básico urbano,399898779.0,441121097.99,404560663.32
2020,26000,Ministério da Educação,12,Educação,306,Alimentação e nutrição,345512697.33,400905528.97,400388009.82
2020,52000,Ministério da Defesa,05,Defesa nacional,152,Defesa naval,186162180.92,266454221.53,331104350.64
2020,36000,Ministério da Saúde,10,Saúde,423,Assistência aos povos indígenas,163674780.34,195131954.07,313640028.34
2020,22000,Ministério da Agricultura e Pecuária,21,Organização agrária,244,Assistência comunitária,0.0,156013547.33,312027094.66
2020,25000,Ministério da Fazenda,09,Previdência social,845,Outras transferências,105777597.48,120817272.88,297980707.56
2020,24000,"Ministério da Ciência, Tecnologia e Inovaç",19,Ciência e Tecnologia,571,Desenvolvimento científico,93110724.97,232741571.85,269916252.29
2020,25201,Banco Central do Brasil - Orçamento Fiscal e,09,Previdência social,272,Previdência do regime estatutário,124675085.14,140777389.75,264577130.12
2020,33000,Ministério da Previdência Social,28,Encargos especiais,846,Outros encargos especiais,142198952.70000002,226096702.97,241292285.68
2020,22000,Ministério da Agricultura e Pecuária,09,Previdência social,272,Previdência do regime estatutário,80932805.94,163584399.0,239863134.63
2020,26000,Ministério da Educação,10,Saúde,302,Assistência hospitalar e ambulatorial,211074796.78,204505575.71,233530290.74
2020,25201,Banco Central do Brasil - Orçamento Fiscal e,04,Administração,122,Administração geral,95597639.28,148742617.68,231610274.14
2020,46000,Ministério da Gestão e da Inovação em Ser,28,Encargos especiais,122,Administração geral,155292544.0,214250720.86,225309268.29
2020,32000,Ministério de Minas e Energia,25,Energia,662,Produção industrial,5600891.309999998,222946097.66,222266996.78
2020,26000,Ministério da Educação,12,Educação,571,Desenvolvimento científico,57026406.0,230875830.0,211804610.0
2020,46000,Ministério da Gestão e da Inovação em Ser,28,Encargos especiais,846,Outros encargos especiais,86979371.41,178259258.59,210609461.82
2020,24000,"Ministério da Ciência, Tecnologia e Inovaç",09,Previdência social,272,Previdência do regime estatutário,-6197022.3100000005,138858323.52,197390031.07
2020,63000,Advocacia-Geral da União,04,Administração,122,Administração geral,40991302.95999999,211460959.12,197294314.38
2020,25000,Ministério da Fazenda,23,Comércio e serviços,693,Comércio exterior,-348926724.53,176160825.54,176160825.54
2020,26000,Ministério da Educação,12,Educação,331,Proteção e benefícios ao trabalhador,-57390711.72,172630192.42,173839888.03
2020,39000,Ministério dos Transportes,26,Transporte,122,Administração geral,91884085.66,163333928.32,169786888.09
2020,46000,Ministério da Gestão e da Inovação em Ser,04,Administração,846,Outros encargos especiais,48845736.22,150719144.97,150719144.97
2020,49000,Ministério do Desenvolvimento Agrário e Agr,21,Organização agrária,631,Reforma agrária,328325087.32,149829260.87,150019440.97
2020,47000,Ministério do Planejamento e Orçamento,09,Previdência social,272,Previdência do regime estatutário,35306068.45,111760901.49000001,148873550.24
2020,24000,"Ministério da Ciência, Tecnologia e Inovaç",19,Ciência e Tecnologia,122,Administração geral,53368263.78,157698418.99,148362895.12
2020,26000,Ministério da Educação,12,Educação,122,Administração geral,247001692.95000002,134770723.95,131876231.97
2020,35000,Ministério das Relações Exteriores,07,Relações exteriores,122,Administração geral,111223067.14999999,123354243.38,123712778.32
2020,44000,Ministério do Meio Ambiente e Mudança do Cl,18,Gestão ambiental,122,Administração geral,57041599.88,99954416.45,123411681.58
2020,36000,Ministério da Saúde,10,Saúde,128,Formação de recursos humanos,113354685.98,115265283.35,117920080.71000001
2020,35000,Ministério das Relações Exteriores,07,Relações exteriores,211,Relações diplomáticas,96572030.53,112468810.9,115038493.73
2020,56000,Ministério das Cidades,15,Urbanismo,453,Transportes coletivos urbanos,74868761.44,103621134.51,111553463.89
2020,47000,Ministério do Planejamento e Orçamento,04,Administração,122,Administração geral,22592281.27,102573920.31,104895302.38
2020,30000,Ministério da Justiça e Segurança Pública,06,Segurança pública,846,Outros encargos especiais,61583896.550000004,102720656.82,102720656.82
2020,49000,Ministério do Desenvolvimento Agrário e Agr,20,Agricultura,122,Administração geral,38187998.160000004,69758923.36,101008384.5
2020,53000,Ministério da Integração e do Desenvolvime,04,Administração,122,Administração geral,45691007.19,81369576.24000001,97783585.83
2020,33000,Ministério da Previdência Social,09,Previdência social,846,Outros encargos especiais,45158213.86,45538019.879999995,91516382.05000001
2020,56000,Ministério das Cidades,28,Encargos especiais,846,Outros encargos especiais,32279848.95,93215754.7,89834470.7
2020,32000,Ministério de Minas e Energia,25,Energia,122,Administração geral,62499052.45,82996586.08,89339594.3
2020,36000,Ministério da Saúde,10,Saúde,846,Outros encargos especiais,-21621104.28,89318419.67,89318503.89
2020,26000,Ministério da Educação,12,Educação,573,Difusão do conhecimento científico e tecnológico,68405907.42999999,86987281.95,86987281.95
2020,63000,Advocacia-Geral da União,09,Previdência social,272,Previdência do regime estatutário,1027567.0,60671192.730000004,83127069.64
2020,56000,Ministério das Cidades,15,Urbanismo,122,Administração geral,83397142.91,70374937.7,82335298.26
2020,36000,Ministério da Saúde,10,Saúde,571,Desenvolvimento científico,189518089.87,88224360.89,81084136.75
2020,49000,Ministério do Desenvolvimento Agrário e Agr,21,Organização agrária,122,Administração geral,38553832.97,69565203.42999999,75571800.75
2020,28000,"Ministério do Desenvolvimento, Indústria, C",22,Indústria,122,Administração geral,27052298.33,73629186.54,72542772.07
2020,25000,Ministério da Fazenda,04,Administração,122,Administração geral,55135758.769999996,78483214.84,71432622.87
2020,52000,Ministério da Defesa,28,Encargos especiais,846,Outros encargos especiais,19562174.99,44765898.349999994,69953530.1
2020,46000,Ministério da Gestão e da Inovação em Ser,11,Trabalho,126,Tecnologia da informação,40255741.46,69126375.34,68421448.24000001
